agent,ipsource,ipdestination,tcpsourceport,tcpdestinationport,bytes,rate(bytes)
198.32.43.89,198.32.43.89,10.244.216.77,163.253.71.2,10.244.84.15,TCP:50948,TCP:5201,perfsonar,testpoint-qcg58,testpoint,perfsonar,testpoint-cb59k,testpoint,2694000000,44900000
198.17.101.66,198.17.101.66,198.129.208.230,TCP:8000,TCP:55196,2691160000,44852600
67.58.51.245,10.244.149.211,67.58.51.245,TCP:6801,TCP:38624,2684360000,44739300
67.58.51.233,10.244.167.177,10.244.206.175,TCP:6802,TCP:40090,2594690000,43244800
67.58.51.247,10.244.194.68,10.244.129.197,TCP:55292,TCP:6802,2588880000,43148000
199.109.80.6,104.18.124.25,199.109.80.16,TCP:443,TCP:16224,2588230000,43137200
67.58.51.40,67.58.51.40,10.244.80.243,67.58.53.160,10.244.152.75,TCP:8081,TCP:20679,kraken,kraken-agent-gfbkf,main,_,_,_,2514400000,41906700
67.58.51.61,67.58.53.218,10.244.42.112,67.58.51.61,10.244.211.0,TCP:6801,TCP:58976,rook,rook-ceph-osd-208-5cc4647b67-jltmb,osd,_,_,_,2508330000,41805500
67.58.51.245,10.244.194.68,67.58.51.245,TCP:6801,TCP:32930,2507760000,41796000
192.154.2.254,130.191.49.222,10.244.18.2,192.154.2.254,10.244.33.4,TCP:6802,TCP:50852,rook,rook-ceph-osd-32-7689f9ffdd-vjcgw,osd,rook,rook-ceph-osd-85-7848dbbdcb-6vqmc,osd,2500000000,41666700
10.244.184.192,198.129.248.154,198.32.44.22,TCP:1094,TCP:48708,2499200000,41653300
68.181.11.162,192.154.2.253,10.244.90.101,68.181.11.162,10.244.182.193,TCP:6802,TCP:40180,rook,rook-ceph-osd-79-6f8f57cb89-blg7x,osd,rook,rook-ceph-osd-109-6469b758bc-hqjv8,osd,2497120000,41618700
171.66.4.10,128.114.109.67,10.244.106.48,171.66.4.10,10.244.88.62,TCP:49396,TCP:6802,rook,rook-ceph-osd-5-7b9f6f6bf6-dhccn,osd,rook,rook-ceph-osd-151-755f69fbfb-smzjb,osd,2497120000,41618700
171.66.4.11,192.154.2.253,10.244.90.95,171.66.4.11,10.244.90.184,TCP:35992,TCP:6802,rook,rook-ceph-osd-82-78965c5475-mkwj5,osd,rook,rook-ceph-osd-48-5ccc55d599-str52,osd,2497120000,41618700
171.66.4.10,192.154.2.253,10.244.90.75,171.66.4.10,10.244.88.22,TCP:49874,TCP:6802,rook,rook-ceph-osd-80-d786488c7-5h2g9,osd,rook,rook-ceph-osd-167-b697d5bc-sj294,osd,2497120000,41618700
67.58.51.236,10.244.149.211,67.58.51.245,TCP:6801,TCP:38624,2496840000,41614000
199.109.80.16,104.18.124.25,199.109.80.16,TCP:443,TCP:16224,2402160000,40036000
192.5.19.135,130.191.103.1,192.5.19.135,TCP:443,TCP:60952,2371900000,39531700
128.114.198.38,128.114.86.12,128.114.198.38,TCP:50736,TCP:5201,2268320000,37805300
199.109.80.6,199.109.80.16,10.244.210.221,169.228.132.14,10.244.155.223,TCP:8080,TCP:56568,kraken,kraken-origin-696757d685-b9zkm,main,kraken,kraken-agent-4svc8,main,2225010000,37083500
199.109.80.6,199.109.80.16,10.244.210.221,164.58.250.10,10.244.6.198,TCP:59088,TCP:80,kraken,kraken-origin-696757d685-b9zkm,main,kraken,kraken-origin-696757d685-2zmp9,main,2166920000,36115300
67.58.51.245,10.244.179.251,67.58.51.245,TCP:6801,TCP:44814,2148840000,35814000
67.58.50.67,192.154.2.253,10.244.90.99,67.58.50.67,10.244.16.30,TCP:33582,TCP:6802,rook,rook-ceph-osd-71-685577bcb5-6b56b,osd,rook,rook-ceph-osd-131-6bd859cbdb-8md2s,osd,2146390000,35773100
68.181.11.162,192.154.2.253,10.244.90.89,68.181.11.162,10.244.182.199,TCP:6802,TCP:57982,rook,rook-ceph-osd-74-df984d978-9wcs2,osd,rook,rook-ceph-osd-144-787b85bb68-28rhc,osd,2140800000,35680000
68.181.11.162,128.114.109.70,10.244.10.30,68.181.11.162,10.244.182.195,TCP:6802,TCP:46864,rook,rook-ceph-osd-4-689c4cb6cf-lljbg,osd,rook,rook-ceph-osd-143-94b8bcdbc-8hjq5,osd,2140800000,35680000
128.114.109.70,192.154.2.253,10.244.90.112,128.114.109.70,10.244.10.36,TCP:57106,TCP:6808,rook,rook-ceph-osd-73-78b9fb5fcf-22rcf,osd,rook,rook-ceph-osd-11-5bbb9d98df-nnms4,osd,2140800000,35680000
67.58.51.244,10.244.113.27,67.58.51.230,TCP:6801,TCP:47580,2120940000,35349000
129.93.241.5,199.109.80.16,10.244.210.221,129.93.241.5,10.244.6.41,TCP:43198,TCP:80,kraken,kraken-origin-696757d685-b9zkm,main,_,_,_,2084000000,34733300
67.58.51.243,10.244.213.2,67.58.51.232,TCP:6801,TCP:48110,2050920000,34182000
67.58.51.240,10.244.217.218,10.244.107.143,TCP:6802,TCP:53802,2010750000,33512500
67.58.51.245,10.244.213.2,67.58.51.245,TCP:6801,TCP:36124,1970680000,32844700
67.58.51.245,10.244.156.249,67.58.51.245,TCP:6801,TCP:57818,1969640000,32827300
67.58.51.246,10.244.56.177,67.58.51.245,TCP:6801,TCP:48692,1962360000,32706000
67.58.51.244,10.244.113.27,10.244.43.101,TCP:39344,TCP:6802,1932210000,32203500
